30001,共同努力，偏爱弱势群体，并给予选择自由，只会使整个社会受益。,我们应该采纳自由主义。
30002,合作总比独自工作更好。,我们应该反对集体主义。
30003,与传教士一起工作是一种充实的体验，能进一步连接你与教会。,我们应该禁止传教工作。
30004,全球范围内有几家重要的科学机构和组织谴责家庭疗法的做法是荒谬且不负责任的。,顺势疗法带来的危害大于好处。
30005,当每个人穿着一样的衣服时，担心自己的外表和同龄人的压力并不那么重要。,我们应该放弃使用校服。
30006,将会降低生产力，可能会导致更多的酒后驾车事件。,我们应该合法化大麻
30007,将消除所有由大规模枪击事件造成的死亡。,我们应该废除拥有和携带武器的权利。
30008,消除宗教迫害，减少仇恨犯罪。,我们应该接受无神论。
30009,鼓励人们共同合作，开发新产品和创意。,我们应该废除知识产权。
30010,确保每个人都拥有相同的防御。,公共辩护律师的使用应该是强制性的
30011,有助于消除监狱过度拥挤问题。,我们应该合法化大麻
30012,这将有助于学生长期发展，因为它将阻止目前针对大学生的高利贷贷款机构。,我们应该对学生贷款进行补贴。
30013,会帮助公司和网站的成长。,我们应该对维基百科进行补贴。
30014,会增加再犯罪者的数量。,我们应该废除三罢法。
30015,将增加对在美国生产的商品和服务的使用和购买。,我们应该结束使用经济制裁。
30016,这将增加对妇女和儿童的暴力。,我们应该合法化卖淫。
30017,将提高选民投票率。保证每个人都有发言权。,我们应该引入强制投票制。
30018,会导致道德和伦理水平下降,我们应该采纳无神论。
30019,是的，禁止它，如果我想要买东西，我会知道去哪里找，而不想被不断打扰的电话。,我们应该禁止电话营销。
30020,是的，我认为应该强制使用公共辩护人，因为这对辩护是必要的。 ,公共辩护律师的使用应该是强制性的。
30021,是的，我认为我们应该为我们的民主制度采取多党制。,我们应该采取多党制。
30022,是的，我认为我们应该禁止未成年人进行整形手术，因为这不适合他们。,我们应该禁止未成年人进行整形手术。
30023,是的，寄养照顾带来的伤害远大于好处。,寄养对孩子带来的伤害大于好处
30024,是的，停止自动驾驶汽车的发展非常重要。,我们应该停止自动驾驶汽车的发展。
30025,是的，它应该结束，它对任何人都没有益处，然后就能有和平。,加沙地带的封锁应该结束。
30026,是的，人们对这种无用的问题感到害怕。,智力考试带来的危害大于好处。
30027,是的，我们应该禁止它，孩子们不需要更多的东西让他们觉得自己必须达到的标准。,我们应该禁止未成年人进行整形手术。
30028,是的，我们应该这样做，因为这给了竞选工作的人们政治自由。,我们应该采取多党制。
30029,是的，我们应该这样做。国债已经失控，必须想办法重启系统，让繁荣的机会能够平等地存在于所有人之间。,我们应该实施紧缩政策。
30030,是的，任何支持胚胎干细胞研究的举措都是恰当的。如果补贴有助于继续研究，我完全支持。,我们应该资助胚胎干细胞研究。
30031,是的，只要这个人同意并且不是必需的。,我们应该接受无神论。
30032,是的，因为这在实际上是谋杀行为，而且被视为犯罪。,协助自杀应被视为刑事犯罪。
30033,是的，为了以色列的安全和和平，加沙地区的封锁应该结束。,加沙地带的封锁应该结束。
30034,是的，明确地。除了道德方面之外，人类克隆只会加剧世界上已经存在的不平等。,我们应该禁止人类克隆。
30035,是的，应该禁止家庭教育。,应该禁止家庭教育。
30036,是的，人类克隆是疯狂的，它只会给人类带来问题。,我们应该禁止人类克隆。
30037,是的，我认为我们应该结束种族歧视，因为这对人们的团结很重要。,我们应该结束种族歧视。
30038,是的，我认为这可能是一件好事。,我们应该废除安全空间
30039,是的，我认为我们应该对安全状况采取紧缩规定。,我们应该采取紧缩政策。
30040,是的，我认为我们应该禁止人类克隆以维护和平与健康。,我们应该禁止人类克隆。
30041,是的，我认为我们应该引入强制投票，因为这有助于培养公民意识和民主精神。,我们应该引入强制投票。
30042,是的，我认为我们应该补助胚胎干细胞研究，因为这有助于推动人类文明和出生控制。,我们应该提供补贴支持胚胎干细胞研究。
30043,是的，我认为我们都应该拥有平等和相同的权利。,我们应该结束种族歧视定性。
30044,是的，应该合法化，一夫多妻制是一种合法的生活方式，而且世界上女性比男性多。,我们应该合法化一夫多妻或一妻多夫制度。
30045,是的，这是一种宗教信仰的做法，不应该出现在学校中。,我们应该禁止在学校里祈祷。
30046,是的，传教工作应该被禁止。参与其中的人通常试图强加自己的信仰于他人之上。人们应该被允许自由选择。,我们应该禁止传教工作。
30047,是的，因为我们是人类，拥有表达自己观点的权利。,应该合法化诱捕。
30048,是的，这应该是一种犯罪行为。历史事实证明大屠杀确实发生过，因此任何试图否认它的行为只是出于对他人的伤害，不应被忽视。,否认大屠杀应该被视为犯罪行为。
30049,是的，我们负债过重，无法偿还甚至支付负债所产生的利息，只能通过借更多的钱来解决。,我们应该采取紧缩政策。
30050,是的，我们应该采取紧缩政策，因为这个国家的债务已经变得太高了。我们陷入了一个非常深的坑，稍微提高一点税收是不够的。我们需要消灭我们的国债。,我们应该采取紧缩政策。
30051,是的，我们应该这样做，这会是最好的。,我们应该给维基百科提供补贴。
30052,是的，我们应该结束使用经济制裁来达到和平的目的。,我们应该结束使用经济制裁。
30053,是的，我们应该为民主引入强制投票。,我们应该引入强制投票制。
30054,是的，我们应该补贴职业教育，因为对年轻人来说非常重要。,我们应该对职业教育进行补贴
30055,是的，我们应该，因为其他任何事情都会令大屠杀幸存者感到受伤。,否认大屠杀应该是一种刑事犯罪。
30056,是的，维基百科是许多年轻人的帮助来源。,我们应该资助维基百科。
30057,是的，您需要让员工意识到他们真正可以花费的金额，不要借贷。,应该禁止发放工资日贷款
30058,是的，你应该为学生提供更多支持，财务帮助是很大的帮助。,我们应该对学生贷款进行补贴
30059,是的，你应该通过努力工作去赢得成功，而不是让成功轻易地送到你手里。,我们应该结束平权行动。
30060,是的，我们应该对胚胎干细胞研究进行补贴，以实现国家的最佳利益。,我们应该资助胚胎干细胞研究
30061,是的。我们应该采用性别中立的语言，因为这是值得推荐的。,我们应该采用性别中立的语言
30062,你正在摧毁一个胚胎，这是违背道德的。,我们应该补贴胚胎干细胞研究。
30063,你要么是男性，要么是女性，别无他选。人们需要正视事实，或者寻求帮助解决他们的心理障碍。,我们应该采用性别中立的语言。
30064,您正在杀害婴儿，只是为了对他们进行实验。,我们应该对胚胎干细胞研究进行补贴。
30065,现在你可以在互联网上找到你所需要的一切。,我们应该放弃电视
30066,你可以合法化大麻，但不能允许在儿童周围吸食，因为烟雾无处不在，与饮酒不同。,我们应该合法化大麻。
30067,您可以更轻松地获得您的业务所需的融资。,我们应该废除知识产权。
30068,没有坚实的基础，你无法成为一个好人。,我们应该接受无神论。
30069,你不能强迫别人信仰宗教或无神论。,我们应该接受无神论。
30070,你不能强迫人们投票，这是一项宪法权利，但也是每个人都有权利去履行的。,我们应该引入强制投票。
30071,你不能告诉一个人他们应该或不应该相信什么，将否认大屠杀定为犯罪是一种不必要的干涉。,否认大屠杀应被视为刑事犯罪。
30072,你只能给某人这么多次机会。如果他们在第三次还没学会，那么很可能他们不会学会了。,我们应当废除“三罢法”
30073,你可以要求投票，但你不能强迫人们对候选人和议题进行教育。,我们应该引入强制投票制度。
30074,现在你可以在互联网上观看任何你想看的东西。,我们应该放弃电视。
30075,你无法控制一个人选择吃什么。,我们应该禁止快餐店。
30076,你不能禁止快餐，这是美国，我们有权利。,我们应该禁止快餐
