10001,在多党制投票时可能会变得混乱,我们应该采用多党制。
10002,它可能带来更多伤害，而不是帮助。,我们应该禁止自然疗法。
10003,这可能导致人们表现出他们通常不会表现出的行为，这种行为是不应该合法的。,诱捕应该合法化。
10004,这可能会对媒体和政府的观点产生偏见。,我们应该对新闻业进行补贴。
10005,它可能引发嫉妒并导致冲突。,我们应该合法化一夫多妻。
10006,这可能会导致嫉妒、忽视和争执。,我们应该合法化一夫多妻制。
10007,它可以为女性创造更多的经济支持。,我们应该合法化一夫多妻。
10008,它可能带来的伤害大于好处。它已经永久地毁掉了人们的外表，从而毁掉了人们的生活。,我们应该禁止整形手术
10009,这种情况可能带来更多的伤害而不是好处。有些手术操作失败导致了人们生活的毁灭，让他们的外貌受到了破坏。,我们应该禁止整形手术。
10010,这可能会给孩子们传递一个错误的信息，即女性比男性低下。,我们应该合法化一夫多妻。
10011,这可以帮助治疗疾病，研究看起来很有希望。,我们应该补助胚胎干细胞研究。
10012,它可以帮助一个来自破裂家庭的孩子，提供一个更稳定的环境，让他们过上更好的生活。,寄养制度带来的危害大于好处。
10013,它可以帮助改善外表，从而提高一个人的自尊心。,我们应该禁止整容手术
10014,它可以帮助促成积极变革。,我们应该限制司法激进主义。
10015,它可以帮助人们建立新的联系，重新连接旧友。,社交媒体带来的伤害多于好处。
10016,如果夫妇只能承担两个孩子，并且他们想要一个男孩和一个女孩，这可以帮助更好地规划家庭。,我们应该合法化性别选择。
10017,它可以帮助获取某些信息。很容易扭曲他们的话，抓住他们撒谎的痕迹。,陷阱应该合法化
10018,它可以帮助防止歧视。,我们应该终止平权行动。
10019,它可以帮助进行教育定位，让学生受到挑战但不会被迫做超出自己极限的事情。,智力测试带来的伤害大于益处。
10020,它可以帮助进行医学研究，进而导致治疗和治愈许多不同的疾病。,我们应该禁止人类克隆。
10021,这可能导致人们待在家里自行治疗而不去专业医院。,我们应该禁止自然疗法
10022,这可能导致社会中的性别失衡。,我们应该合法化性别选择。
10023,这可能导致陌生人以及熟人的侵入行为。同时也会使我们容易丧失隐私。,社交媒体带来的负面影响多于正面影响。
10024,这可能会导致停滞和缺乏增长。,我们应采取紧缩政策。
10025,这可能导致使用更严重的毒品。,我们应该合法化大麻。
10026,它可以使一些人更加“平等”。,我们应该反对集体主义。
10027,这可以为个人的职业发展打开大门，应得到政府的支持。,我们应该对太空探索进行补贴。
10028,如果卖淫合法化，它可以保护女性免受虐待和暴力，因为她们能够寻求帮助。,我们应该将卖淫合法化。
10029,它可以为妇女提供财务安全。,我们应该合法化一夫多妻制。
10030,它可以借助其他途径的资金生存。,我们应该对维基百科进行补贴。
10031,它无法被废除，它被宪法保障。,我们应该废除持有与携带武器的权利。
10032,允许有目标的暗杀绝对不是道德上正确的，因为这样做会使我们和肇事者没什么两样。,我们应该禁止有针对性的暗杀。
10033,以有针对性的杀人作为行动是道德上无法被认可的，这会让我们与被瞄准的人没有任何区别。,我们应该禁止有针对性的暗杀。
10034,不能强制执行，因为不是所有人都想要一名公共辩护人。,公共辩护律师的使用应该是强制性的。
10035,基于种族对单身人士进行单独定性是错误的和带有偏见的。,我们应该结束种族歧视。
10036,当未成年人接受手术而不是为了健康时，这会带来更多的危害。,我们应该禁止未成年人进行整容手术。
10037,这导致人们因小罪行而受到不成比例的严厉判决。,我们应该废除三次定罪法。
10038,它会引起污染，给人们带来痛苦，人们需要广阔的开阔空间。,我们应该抵制城市化。
10039,它引起了如此大的干扰，需要加以限制。,我们应该限制司法激进主义。
10040,这导致学费增加得太多。,我们应该补贴学生贷款
