20001,有针对性的暗杀可以挽救许多生命，无论是袭击双方都会从中受益。,我们应该禁止有针对性的杀戮。
20002,有针对性的暗杀应该被禁止，因为它造成的伤害多于好处，无辜的人，包括儿童在进行这些袭击时经常被杀害。,我们应该禁止有针对性的暗杀。
20003,有针对性的暗杀应该被禁止，因为它不过是一种被视为懦弱和卑劣的刺杀行为。,我们应该禁止有针对性的杀戮。
20004,有针对性的暗杀应该被禁止，因为除了目标对象外，通常还会造成无辜旁观者的伤亡。,我们应该禁止有针对性的暗杀。
20005,有针对性的暗杀应该被禁止，因为这剥夺了受害者接受公平陪审团审判的权利。,我们应该禁止有针对性的暗杀。
20006,有针对性的暗杀应该被禁止，因为它往往导致无辜旁观者的死亡。,我们应该禁止有针对性的暗杀。
20007,有针对性的暗杀应该被禁止，因为这是一场影响许多人的恐怖行动。,我们应该禁止有针对性的暗杀。
20008,有针对性的暗杀应该被禁止，因为没有人应该在不知情的情况下被特意追踪并杀害。,我们应该禁止有针对性的杀戮。
20009,有针对性的暗杀应当被禁止，因为个人无法和政府雇佣的刺客抗衡。相反，应该进行公正的审判。,我们应该禁止有针对性的暗杀。
20010,有针对性的杀戮应该被禁止，因为我们不应该杀害动物。,我们应该禁止有针对性的暗杀。
20011,有针对性的暗杀应该被禁止，每个人都有权获得正当程序。,我们应该禁止针对性的暗杀。
20012,如果没有审判，应该认为有针对性的暗杀行为是非法的。,我们应该禁止有针对性的暗杀。
20013,有些人认为，如果目标对象像希特勒那样需要被消灭，有针对性的暗杀就应该是合法的。,我们应该禁止有针对性的杀戮。
20014,有针对性的暗杀应该被禁止，因为这些暗杀行为在道德上是不正确的。,我们应该禁止有针对性的杀戮。
20015,有针对性的暗杀行为应当被视为非法，因为每个人都有权接受公平公正的审判。,我们应该禁止有针对性的暗杀。
20016,有针对性的暗杀不应该被禁止，因为它可以移除那些制造动荡和战争的人，并在最小化生命损失的情况下实现解决。,我们应该禁止有针对性的暗杀。
20017,有针对性的暗杀不应该被禁止，因为它可以通过消灭战争的领导者来拯救许多生命，从而促进和平。,我们应该禁止有针对性的杀戮。
20018,有针对性的暗杀不应被禁止，因为政府有智力和知识能够有针对性地消除威胁，而不会伤及很多人或社区。,我们应该禁止有针对性的暗杀。
20019,针对性暗杀不应被禁止，因为这意味着危险人员可以被制止伤害他人。,我们应该禁止有针对性的暗杀。
20020,有针对性的暗杀不应该被禁止，因为通过这种方式可以拯救许多人。,我们应该禁止有针对性的暗杀。
20021,有些情况下，应当使用有针对性的暗杀，比如对付可能会伤害无辜民众的恐怖分子。,我们应该禁止有针对性的暗杀。
20022,有时有针对性的暗杀行动会导致无辜人员丧生。,我们应该禁止有针对性的暗杀。
20023,有针对性的暗杀可以简化战斗行动，只造成必要的伤亡。,我们应该禁止有针对性的暗杀。
20024,有针对性的定点暗杀能够精准清除敌方行动者而不造成附带伤害，应当继续进行。,我们应该禁止有针对性的暗杀。
20025,定点清除行动可以消灭像本•拉登这样的罪犯。,我们应该禁止有针对性的杀戮。
